#key	name	year	genre	developer	players
Samurai Shodown (USA, Europe)	Samurai Shodown	1994	Fighting	SNK	1-2
San Diego Zoo Presents... The Animals!, The (USA)	The San Diego Zoo Presents... The Animals!	1994	Educational	The Software Toolworks	1
Sangokushi IV (Japan)	Sangokushi IV	1995	Strategy	Koei	
Scramble Cobra (USA)	Scramble Cobra	1995	Shooter / Plane, FPV/Shooter	Genki	1
Scramble Cobra - Premium Version (Japan)	Scramble Cobra	1995	Shooter / Plane, FPV/Shooter	Genki	1
Seal of the Pharaoh (USA)	Seal Of The Pharaoh	1994	Adventure	System Sacom	1
Secre Fuumin no Omochabako (Japan)	Secre Fuumin No Omochabako	1994	Educational	Glams	1
Seimei Handan (Japan)	Seimei Handan	1995	Playing cards	Ariadne	1
Sento Monogatari - Sono I (Japan)	Sento Monogatari: Sono I	1995	Puzzle	Ariadne	1
Sesame Street - Numbers (USA)	Sesame Street : Numbers	1994	Educational	Viridis	1
Sewer Shark (USA, Europe)	Sewer Shark	1994	Lightgun Shooter	Hasbro	1
Sex (USA)	Sex	1995	Adventure / Visual Novel/Adults/Adventure	Vivid Interactive	1
SHADOW - War of Succession (USA)	Shadow : War of Succession	1994	Fighting	Tribeca Digital Studios	2
SHADOW Warriors (Japan)	Shadow : War of Succession	1994	Fighting	Tribeca Digital Studios	2
Shanghai - Banri no Choujou - The Great Wall (Japan) (Rev 1)	Shanghai : Triple-Threat	1994	Board game	Activision	1-2
Shanghai - Triple-Threat (USA)	Shanghai : Triple-Threat	1994	Board game	Activision	1-2
Shelley Duvall's It's a Bird's Life (USA)	Shelley Duvall's It's A Bird's Life	1993	Educational	Sanctuary Woods	1
Shock Wave (USA) (RE1)	Shock Wave	1994	Shooter / Plane, FPV/Shooter	Advanced Technology Group	1
Shock Wave - Operation JumpGate (USA, Europe)	Shock Wave : Operation JumpGate	1994	Shooter / Plane, FPV/Shooter	Electronic Arts	1
Shockwave 2 - Beyond the Gate (USA) (Disc 1)	Shock Wave 2 : Beyond the Gate	1995	Shooter / FPV/Shooter	Advanced Technology Group	1
Shootout at Old Tucson (USA) (RE3) (Arcade CD-ROM)	Shootout at Old Tucson	1994	Shooter / FPV/Shooter	American Laser Games	1
Short Warp - Warp's Short Game Collection (Japan)	Short Warp	1996	Casual Game	WARP	1
Slam 'n Jam '95 (USA, Europe)	Slam 'N Jam '95	1995	Sports / Basketball/Sports	Left Field Productions	1-2
